,logFC,logCPM,F,PValue,FDR
CCDC174,-0.27233378120236257,4.84486744808404,5.9625012326542555,0.015333786510141447,0.07627867711460608
TBC1D19,-0.2725814049516073,4.498296510180561,4.3183926598746964,0.038730986128194984,0.15015459167550635
RPL22,-0.2730461641925162,10.928926650922811,64.18921335588067,5.1320141275718924e-14,4.150737633179267e-12
CRLS1,-0.2734372750061133,4.441835346153993,5.60410984264036,0.01868004122993821,0.0883347514210082
GPANK1,-0.27397197519468847,4.684981653336362,7.038521958585722,0.00850147230503773,0.05016403343765031
LYRM5,-0.2740304243946713,4.627918691692212,5.804172098497191,0.01672309403261598,0.08134446647931477
MAPKAPK5,-0.2741302485566145,4.637616755576655,5.270089226043374,0.02254155077117415,0.10022977693609282
HSPB1,-0.27604246788440284,6.556969980220874,17.53949262744271,3.976452140328218e-05,0.0005847503758708361
PRNP,-0.2762394952891578,5.529579965652113,10.089225220940765,0.001690722034929571,0.014062370684139394
RPL5,-0.2764317622433817,11.326872638328105,47.39182257147237,5.177220202292006e-11,2.6688285680166813e-09
TTC3,-0.27682497320331173,6.487181856618124,15.269847212414136,0.00012179522543322243,0.0015195250066682086
SELL,-0.27698604125065984,6.937466271628432,8.36896756104803,0.0041734185377145915,0.028622085322250218
ANKRD10,-0.27775624712674724,5.050102224079647,7.292979307160779,0.007419360564139683,0.04502486469130563
A1BG,-0.2787391821188619,5.221440440959559,6.707353930352095,0.010194727501615075,0.05720510372018698
B3GAT2,-0.27884822651415003,5.124537795791891,4.394270526624215,0.037118316940250855,0.1451016873055973
TSPYL2,-0.27896812770349527,6.587588442769043,7.61454089120074,0.0062443381828220694,0.039160682373821296
ECHDC2,-0.27925022843250746,5.113609107186274,8.83833636344254,0.00325320332140596,0.023442053426598095
CTNNB1,-0.280295181022111,5.6149181155132535,6.52340399583151,0.011277574968727506,0.06115965800959622
CWF19L2,-0.28039801142764004,6.33017001717203,13.779791071120748,0.0002565254606005435,0.0028996649052461434
RPS27A,-0.28071379185754575,12.982034846906236,98.68326501949775,1.1593085692789466e-19,2.364485434125017e-17
MT-CYB,-0.28111291200385935,11.582140056505894,53.27888526829585,4.363288335295755e-12,2.624126356522101e-10
SCYL1,-0.28166432252491425,4.425778415713893,5.1935064714906645,0.023512685285554176,0.10337207748316274
LOH12CR1,-0.2830085978196924,4.52274187371515,5.773691896531378,0.017001379303396433,0.08213539682001306
ZNF75A,-0.2834070223353788,4.984962614947829,7.344338840534704,0.007214701990064832,0.0440679258273361
WDR74,-0.2841080137488471,5.717650551482403,11.243034933829849,0.0009312831226742666,0.008633693929772698
RPLP2,-0.28496021459770926,13.133777989213636,63.27796141272684,7.387979902858373e-14,5.589840923275584e-12
CARD11,-0.2854074009173515,4.397169714269874,4.7379899940562815,0.030434076397942027,0.12457788166033686
RPL30,-0.2854145349243356,12.401342449304243,41.26883907789972,7.21257420958013e-10,3.162073422162653e-08
MYBL1,-0.2854254423784597,5.817564028889735,10.798907049281963,0.0011706237703245604,0.01049980135103731
VAV3,-0.28573293893859547,4.380538925563176,4.165861818704867,0.042289749670586484,0.15934234193150296
RPS6,-0.2857391094676978,12.755532822979829,122.9208310874934,2.7927134983696326e-23,9.357585014894247e-21
